Data,Wykonana_akcja,Cena,Ilosc_akacji,Zysk/Strata,Wartosc_kapitalu
2023-07-10,kupno,56.21,17.79,0.0,1000.0
2023-08-02,sprzedaż,59.96,0.0,66.71,1066.71
2023-09-21,kupno,55.54,19.21,0.0,1066.71
2023-09-27,sprzedaż,54.31,0.0,-23.63,1043.08
2023-10-09,kupno,54.14,19.27,0.0,1043.08
2023-11-03,sprzedaż,61.09,0.0,133.93,1177.01
2023-12-08,kupno,57.78,20.37,0.0,1177.01
2024-01-05,sprzedaż,59.93,0.0,43.66,1220.67
2024-01-26,kupno,56.86,21.47,0.0,1220.67
2024-02-22,sprzedaż,61.6,0.0,101.82,1322.49
2024-03-18,kupno,58.87,22.46,0.0,1322.49
2024-03-19,sprzedaż,59.03,0.0,3.56,1326.05
2024-03-25,kupno,58.13,22.81,0.0,1326.05
2024-04-17,sprzedaż,62.93,0.0,109.48,1435.53
2024-05-13,kupno,63.81,22.5,0.0,1435.53
2024-05-23,sprzedaż,62.37,0.0,-32.49,1403.03
2024-06-17,kupno,60.08,23.35,0.0,1403.03
2024-07-09,sprzedaż,62.32,0.0,52.22,1455.26
2024-08-09,kupno,57.36,25.37,0.0,1455.26
2024-09-05,sprzedaż,57.96,0.0,15.13,1470.39
2024-09-23,kupno,56.28,26.13,0.0,1470.39
2024-09-25,sprzedaż,57.16,0.0,22.99,1493.38
2024-09-26,kupno,55.54,26.89,0.0,1493.38
2024-10-08,sprzedaż,55.2,0.0,-9.14,1484.24
2024-11-06,kupno,51.88,28.61,0.0,1484.24
2024-11-08,sprzedaż,52.6,0.0,20.6,1504.83
2024-11-13,kupno,50.84,29.6,0.0,1504.83
2024-12-11,sprzedaż,50.09,0.0,-22.2,1482.63
2025-01-02,kupno,49.37,30.03,0.0,1482.63
2025-03-26,sprzedaż,70.11,0.0,622.84,2105.48
2025-04-23,kupno,67.09,31.38,0.0,2105.48
2025-05-21,sprzedaż,71.68,0.0,144.05,2249.53
2025-05-30,kupno,73.54,30.59,0.0,2249.53
2025-06-05,sprzedaż,74.8,0.0,38.54,2288.07
2025-06-09,kupno,74.65,30.65,0.0,2288.07
